Artist,Track,Year,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
The Supremes,Baby Love,1964,0.595,0.643,5,-9.275,1,0.0365,0.76,0,0.538,0.73,135.633
Nat King Cole,I Don't Want To See Tomorrow,1964,0.32,0.221,7,-15.714,1,0.0332,0.774,0,0.145,0.358,76.528
Dusty Springfield,All Cried Out,1964,0.483,0.713,0,-7.172,1,0.026,0.551,1.00E-05,0.322,0.66,98.824
Sam Cooke,Cousin Of Mine,1964,0.575,0.627,10,-9.139,0,0.0489,0.516,2.22E-06,0.313,0.897,89.859
Dean Martin,The Door Is Still Open To My Heart,1964,0.236,0.429,3,-13.576,1,0.0467,0.702,0.000106,0.0696,0.356,84.686
Sandy Nelson,Teen Beat '65,1964,0.439,0.961,1,-9.381,0,0.0559,0.00612,0.882,0.352,0.722,102.43
The Dave Clark Five,Everybody Knows (I Still Love You),1964,0.446,0.503,0,-10.025,1,0.0382,0.101,0,0.268,0.781,125.064
Tony Bennett,Who Can I Turn To (When Nobody Needs Me),1964,0.237,0.238,3,-11.999,1,0.0341,0.927,2.02E-05,0.0543,0.126,112.062
Jimmy Hughes,Try Me,1964,0.476,0.453,0,-6.788,1,0.0288,0.841,1.78E-05,0.0753,0.426,172.206
Ruby And The Romantics,When You're Young And In Love,1964,0.49,0.538,3,-8.575,1,0.0325,0.864,5.67E-05,0.188,0.508,106.948
The Kinks,You Really Got Me,1964,0.573,0.939,8,-6.441,1,0.0808,0.493,0,0.0994,0.963,137.382
Jim Reeves,I Guess I'm Crazy,1964,0.497,0.261,4,-13.869,1,0.0273,0.761,0.000291,0.363,0.616,93.636
Peter And Gordon,I Don't Want To See You Again,1964,0.587,0.607,7,-8.473,1,0.0341,0.139,2.67E-06,0.185,0.895,127.488
Nat King Cole,L-O-V-E,1964,0.425,0.373,4,-7.543,1,0.0797,0.679,0,0.077,0.663,78.225
Aretha Franklin,Runnin' Out Of Fools,1964,0.521,0.506,7,-8.906,0,0.0379,0.791,0,0.124,0.63,79.879
Brook Benton,Lumberjack,1964,0.653,0.255,4,-21.061,1,0.0359,0.654,2.31E-06,0.275,0.757,104.098
The Superbs,Baby Baby All The Time,1964,0.499,0.368,5,-11.109,0,0.0295,0.732,0.000958,0.426,0.572,70.329
Mitty Collier,I Had A Talk With My Man,1964,0.327,0.367,8,-6.763,1,0.0264,0.327,0,0.129,0.347,141.603
Louis Armstrong,So Long Dearie,1964,0.384,0.684,8,-8.381,1,0.0609,0.5,0,0.131,0.935,170.986
Bill Black's Combo,Little Queenie,1964,0.725,0.772,5,-8.814,1,0.0354,0.423,0.701,0.06,0.947,142.601
The Shangri-Las,Leader Of The Pack,1964,0.417,0.546,0,-8.71,1,0.0858,0.725,0,0.543,0.31,126.224
The Zombies,She's Not There,1964,0.657,0.693,9,-14.447,0,0.0486,0.0488,0.681,0.0868,0.833,133.056
Brenda Lee,Is It True,1964,0.721,0.782,9,-10.37,1,0.0358,0.411,9.36E-06,0.265,0.81,125.401
Lorne Greene,Ringo,1964,0.563,0.521,11,-12.568,1,0.311,0.864,0,0.216,0.653,110.794
The Rolling Stones,Time Is On My Side,1964,0.526,0.645,5,-9.012,1,0.0375,0.294,3.13E-06,0.107,0.416,99.636
The Searchers,When You Walk In The Room,1964,0.487,0.951,9,-4.292,1,0.0458,0.227,0,0.123,0.901,134.323
The Beach Boys,Wendy,1964,0.491,0.531,5,-8.18,1,0.0369,0.183,0,0.182,0.469,137.285
The Dixie Cups,You Should Have Seen The Way He Looked At Me,1964,0.641,0.465,10,-8.842,1,0.0598,0.618,0,0.093,0.913,118.756
The Velvelettes,Needle In A Haystack,1964,0.699,0.756,0,-3.617,1,0.0292,0.565,2.89E-06,0.106,0.74,77.52
Rufus Thomas,Jump Back,1964,0.893,0.436,2,-9.124,1,0.0505,0.646,0.000314,0.178,0.963,116.389
The Ventures,Slaughter On Tenth Avenue,1964,0.463,0.906,2,-12.467,1,0.0346,0.0371,0.868,0.907,0.897,155.569
The Ronettes,Walking In The Rain,1964,0.5,0.655,10,-8.313,1,0.0308,0.386,0,0.0915,0.41,107.75
The Everly Brothers,"Gone, Gone, Gone",1964,0.619,0.814,11,-10.027,1,0.0338,0.302,1.00E-05,0.0864,0.753,98.032
Jan & Dean,Sidewalk Surfin',1964,0.54,0.618,2,-13.956,1,0.0303,0.212,0,0.375,0.827,137.551
Mickey Lee Lane,Shaggy Dog,1964,0.624,0.869,10,-8.394,1,0.0381,0.149,0,0.105,0.887,104.813
Johnny Tillotson,She Understands Me,1964,0.671,0.565,4,-9.39,1,0.0346,0.742,0,0.239,0.73,105.877
Bobby Freeman,S-W-I-M,1964,0.445,0.629,7,-12.58,1,0.0582,0.277,8.75E-06,0.333,0.728,160.651
Garnet Mimms,Look Away,1964,0.683,0.606,9,-11.257,1,0.0337,0.235,0,0.247,0.949,108.462
Marvin Gaye & Kim Weston,What Good Am I Without You,1964,0.548,0.595,7,-8.974,1,0.0315,0.443,0.000211,0.378,0.703,117.78
Little Anthony And The Imperials,Goin' Out Of My Head,1964,0.542,0.261,9,-12.231,1,0.0321,0.813,0,0.471,0.438,104.464
Chuck Berry,Little Marie,1964,0.502,0.669,3,-9.225,1,0.0525,0.573,0,0.321,0.698,172.154
The Jewels,Opportunity,1964,0.688,0.64,5,-5.827,0,0.0401,0.519,0,0.155,0.894,106.187
Johnny Mathis,Listen Lonely Girl,1964,0.494,0.439,0,-10.546,1,0.0259,0.776,2.76E-05,0.418,0.712,94.736
The Beach Boys,"Dance, Dance, Dance",1964,0.438,0.81,10,-8.443,1,0.0457,0.455,2.23E-06,0.331,0.761,147.219
Lesley Gore,Hey Now,1964,0.591,0.564,4,-9.253,1,0.0314,0.457,0,0.741,0.963,119.478
The Marvelettes,Too Many Fish In The Sea,1964,0.585,0.851,0,-4.35,1,0.0457,0.443,8.79E-05,0.0766,0.707,90.532
Al Martino,We Could,1964,0.479,0.38,9,-12.492,1,0.0369,0.718,3.85E-05,0.239,0.658,114.12
Otis Redding,Chained And Bound,1964,0.445,0.353,10,-10.974,1,0.0457,0.623,0.000372,0.0658,0.823,160.797
Robert Goulet,"My Love, Forgive Me (Amore, Scusami)",1964,0.339,0.503,8,-11.705,0,0.0355,0.86,0.000105,0.398,0.475,79.327
Maxine Brown,Oh No Not My Baby,1964,0.505,0.574,5,-7.024,0,0.0291,0.538,0,0.474,0.574,99.56
The Shirelles,Maybe Tonight,1964,0.64,0.525,11,-11.464,1,0.0363,0.817,0.0022,0.925,0.892,123.268
Ronny And The Daytonas,California Bound,1964,0.434,0.955,9,-7.215,1,0.0421,0.508,0.000526,0.425,0.969,80.642
B.B. King,Beautician Blues,1964,0.704,0.433,8,-14.208,1,0.0869,0.587,0,0.0799,0.819,130.502
Lesley Gore,Sometimes I Wish I Were A Boy,1964,0.691,0.421,8,-11.129,1,0.0371,0.711,0,0.463,0.899,130.89
Bobby Bare,Four Strong Winds,1964,0.581,0.38,7,-11.429,1,0.0293,0.59,6.51E-05,0.169,0.653,117.597
Sonny Knight,If You Want This Love,1964,0.75,0.255,9,-16.059,0,0.099,0.754,2.44E-05,0.0901,0.655,109.12
B.B. King,Never Trust A Woman,1964,0.561,0.469,3,-8.311,1,0.0864,0.458,0,0.124,0.716,134.133
Johnny Cash,"It Ain't Me, Babe",1964,0.633,0.588,2,-6.595,1,0.03,0.277,0,0.165,0.624,105.646
Irma Thomas,Times Have Changed,1964,0.268,0.463,1,-9.499,1,0.0356,0.759,3.26E-05,0.163,0.749,187.644
The Supremes,Come See About Me,1964,0.732,0.506,7,-11.735,1,0.0462,0.688,1.04E-06,0.146,0.867,126.325
Manfred Mann,Sha La La,1964,0.36,0.838,5,-4.208,1,0.0395,0.521,0,0.861,0.868,144.78
The Larks,The Jerk,1964,0.766,0.478,5,-10.904,1,0.0312,0.781,4.26E-05,0.112,0.893,129.98
The Beatles,I Feel Fine,1964,0.564,0.827,7,-7.089,1,0.0283,0.0904,3.73E-06,0.127,0.912,89.847
The Drifters,Saturday Night At The Movies,1964,0.708,0.544,6,-7.377,1,0.0503,0.646,0,0.121,0.923,135.241
The Dave Clark Five,Any Way You Want It,1964,0.282,0.937,9,-8.175,1,0.09,0.0107,0,0.293,0.194,145.872
Julie Rogers,The Wedding,1964,0.27,0.388,8,-8.084,1,0.0295,0.795,1.63E-05,0.112,0.346,97.433
The Impressions,Amen,1964,0.598,0.579,5,-6.687,1,0.0326,0.153,1.02E-05,0.295,0.539,118.357
Chad & Jeremy,Willow Weep For Me,1964,0.413,0.304,5,-16.244,1,0.0331,0.829,0,0.2,0.424,115.774
The Beatles,She's A Woman,1964,0.396,0.604,7,-8.393,1,0.0307,0.548,0,0.155,0.908,91.866
The Gestures,"Run, Run, Run",1964,0.244,0.943,8,-3.711,0,0.108,0.127,0,0.126,0.727,167.553
Marvin Gaye,How Sweet It Is To Be Loved By You,1964,0.653,0.49,0,-10.106,1,0.0408,0.323,4.13E-06,0.0832,0.963,110.202
Marianne Faithfull,As Tears Go By,1964,0.517,0.527,0,-10.667,1,0.0296,0.362,1.80E-05,0.413,0.812,127.697
Andy Williams,Dear Heart,1964,0.145,0.242,5,-12.448,1,0.03,0.873,0,0.136,0.0971,84.301
Del Shannon,Keep Searchin' (We'll Follow The Sun),1964,0.407,0.679,4,-9.465,0,0.0359,0.238,0.929,0.814,0.855,149.195
Chuck Jackson,Since I Don't Have You,1964,0.323,0.4,5,-12.727,1,0.0408,0.527,2.42E-05,0.0959,0.462,124.506
The Searchers,Love Potion Number Nine,1964,0.695,0.731,2,-8.449,1,0.0863,0.436,0,0.131,0.867,124.674
Matt Monro,Walk Away,1964,0.12,0.409,0,-10.582,1,0.033,0.789,0.00228,0.166,0.349,173.974
Andy Williams,Almost There,1964,0.428,0.374,9,-14.527,1,0.0281,0.822,0.000121,0.155,0.468,102.171
Solomon Burke,The Price,1964,0.466,0.564,4,-8.703,1,0.0277,0.488,7.04E-06,0.193,0.502,77.117
Candy & The Kisses,The 81,1964,0.445,0.671,0,-5.804,1,0.0343,0.482,1.60E-06,0.664,0.714,150.954
Roger Miller,Do-Wacka-Do,1964,0.602,0.317,4,-18.015,1,0.141,0.503,0,0.188,0.891,179.165
Gene Chandler,What Now,1964,0.401,0.606,5,-6.465,1,0.0651,0.619,0,0.104,0.687,185.89
The Detergents,Leader Of The Laundromat,1964,0.444,0.621,7,-9.138,0,0.271,0.697,2.51E-06,0.108,0.52,141.465
The Waikikis,Hawaii Tattoo,1964,0.687,0.835,10,-8.088,1,0.0454,0.745,0.946,0.144,0.834,114.733
Betty Everett,Getting Mighty Crowded,1964,0.61,0.47,5,-11.599,1,0.0513,0.863,0.00121,0.236,0.809,124.564
Carla Thomas,A Woman's Love,1964,0.462,0.322,0,-10.46,1,0.0286,0.702,4.01E-05,0.519,0.634,170.444
Travis Wammack,Scratchy,1964,0.649,0.66,7,-12.647,1,0.0579,0.12,0.723,0.138,0.967,154.63
Major Lance,Sometimes I Wonder,1964,0.657,0.519,7,-10.346,1,0.0282,0.629,3.11E-06,0.255,0.75,111.651
Gale Garnett,Lovin' Place,1964,0.577,0.526,9,-8.908,1,0.0316,0.814,0,0.111,0.624,116.294
The Tymes,Here She Comes,1964,0.693,0.676,8,-8.266,1,0.0566,0.717,1.51E-06,0.284,0.851,126.086
Jim Reeves,I Won't Forget You,1964,0.401,0.177,9,-17.993,1,0.0382,0.932,0.0119,0.107,0.344,86.286
Bobby Vee,Pretend You Don't See Her,1964,0.267,0.489,9,-8.896,1,0.0317,0.78,0.00195,0.329,0.506,103.333
The Village Stompers,Fiddler On The Roof,1964,0.522,0.457,7,-8.775,1,0.0504,0.726,0.00712,0.0674,0.842,169.763
Petula Clark,Downtown,1965,0.48,0.689,4,-7.921,1,0.0645,0.78,0,0.149,0.596,117.409
The Righteous Brothers,You've Lost That Lovin' Feelin',1965,0.34,0.402,11,-12.943,1,0.0743,0.855,0.00939,0.945,0.57,94.506
Joe Tex,Hold What You've Got,1965,0.529,0.218,7,-16.522,1,0.0435,0.804,0,0.117,0.307,101.735
Chuck Berry,Promised Land,1965,0.477,0.895,0,-6.63,1,0.0586,0.723,0,0.791,0.963,167.201
Shirley Ellis,The Name Game,1965,0.753,0.822,5,-7.441,0,0.0805,0.229,5.26E-06,0.165,0.939,81.551
The Kinks,All Day And All Of The Night,1965,0.551,0.86,7,-7.839,1,0.0796,0.262,4.57E-06,0.0558,0.723,136.921
Ben E. King,Seven Letters,1965,0.505,0.248,7,-13.407,1,0.0328,0.558,0,0.27,0.609,130.457
The Shangri-Las,Give Him A Great Big Kiss,1965,0.685,0.652,7,-9.697,1,0.228,0.539,0.000296,0.109,0.617,83.588
The Honeycombs,I Can't Stop,1965,0.594,0.561,0,-11.431,0,0.0546,0.0639,0.00112,0.127,0.655,131.094
The Miracles,Come On Do The Jerk,1965,0.615,0.754,0,-9.236,1,0.0541,0.0512,4.54E-05,0.212,0.916,93.609
Jerry Vale,Have You Looked Into Your Heart,1965,0.355,0.404,7,-10.12,1,0.029,0.857,1.43E-06,0.354,0.501,75.124
Brook Benton,Do It Right,1965,0.614,0.542,7,-13.928,1,0.0388,0.618,0,0.106,0.787,87.105
Frank Sinatra,Somewhere In Your Heart,1965,0.257,0.481,8,-5.674,1,0.0337,0.636,0,0.0845,0.469,128.737
Lesley Gore,Look Of Love,1965,0.361,0.72,10,-9.583,1,0.0679,0.65,0,0.782,0.592,66.436
The Dixie Cups,Little Bell,1965,0.649,0.641,2,-7.548,0,0.0425,0.833,8.41E-06,0.448,0.743,103.126
The Contours,Can You Jerk Like Me,1965,0.556,0.742,8,-6.524,1,0.0524,0.612,2.60E-05,0.055,0.771,78.691
Ronny And The Daytonas,"Bucket ""T""",1965,0.548,0.951,8,-7.583,1,0.0628,0.746,0,0.392,0.631,105.686
Sue Thompson,Paper Tiger,1965,0.723,0.74,2,-9.127,1,0.028,0.683,0.000338,0.105,0.853,133.958
The Bachelors,No Arms Can Ever Hold You,1965,0.464,0.576,0,-11.51,0,0.0323,0.471,0,0.256,0.536,108.051
Chubby Checker,"Lovely, Lovely (Loverly, Loverly)",1965,0.659,0.63,4,-6.148,1,0.0318,0.709,0.00012,0.531,0.921,130.062
Ned Miller,Do What You Do Do Well,1965,0.646,0.669,9,-8.867,1,0.0409,0.264,0,0.195,0.81,116.345
The Dolphins,Hey-Da-Da-Dow,1965,0.714,0.501,4,-9.232,1,0.0316,0.827,0,0.1,0.88,122.141
Willie Mitchell,Percolatin',1965,0.889,0.363,5,-9.902,1,0.0454,0.854,0.874,0.106,0.871,127.929
The Hondells,My Buddy Seat,1965,0.407,0.737,4,-7.741,1,0.0417,0.804,0,0.123,0.925,150.053
Little Milton,Blind Man,1965,0.675,0.277,0,-16.702,1,0.24,0.378,3.22E-06,0.643,0.422,115.087
The Shangri-Las,Maybe,1965,0.361,0.574,7,-8.674,1,0.0343,0.552,0,0.386,0.443,84.596
The Radiants,Voice Your Choice,1965,0.324,0.628,10,-8.125,1,0.0366,0.832,2.04E-06,0.537,0.924,202.818
The Beau Brummels,"Laugh, Laugh",1965,0.486,0.683,1,-8.768,0,0.0541,0.299,0,0.0987,0.745,128.723
Don Covay,Take This Hurt Off Me,1965,0.822,0.676,9,-12.176,1,0.0484,0.572,0,0.0738,0.927,119.544
Billy Edd Wheeler,Ode To The Little Brown Shack Out Back,1965,0.47,0.321,7,-13.241,1,0.0474,0.693,0,0.35,0.398,106.634
Bobby Bland,Black Night,1965,0.446,0.402,5,-8.663,1,0.0248,0.71,4.80E-05,0.127,0.473,86.759
Alvin Cash & The Crawlers,Twine Time,1965,0.465,0.722,2,-6.222,0,0.0545,0.0719,0.843,0.15,0.814,124.689
Gary Lewis And The Playboys,This Diamond Ring,1965,0.628,0.609,10,-10.635,0,0.0278,0.332,0,0.136,0.775,132.596
The Temptations,My Girl,1965,0.572,0.418,0,-10.738,1,0.0349,0.635,0,0.0961,0.694,104.566
Sam Cooke,Shake,1965,0.543,0.846,5,-7.582,1,0.0553,0.782,0,0.312,0.782,151.557
The Kingsmen,The Jolly Green Giant,1965,0.732,0.714,5,-9.159,1,0.0582,0.133,0,0.0901,0.741,132.391
Peter And Gordon,I Go To Pieces,1965,0.579,0.618,4,-8.237,1,0.0275,0.624,1.29E-05,0.412,0.897,112.07
Dobie Gray,"The ""In"" Crowd",1965,0.677,0.795,1,-7.845,1,0.0525,0.151,0.0157,0.138,0.791,117.415
The Zombies,Tell Her No,1965,0.757,0.435,8,-10.139,0,0.032,0.339,0.396,0.0997,0.942,135.639
The Rolling Stones,Heart Of Stone,1965,0.378,0.582,0,-11.277,1,0.0366,0.198,0.0169,0.0928,0.566,186.476
The Ad Libs,The Boy From New York City,1965,0.484,0.789,11,-5.942,1,0.0731,0.752,0,0.118,0.778,148.649
Roger Miller,King Of The Road,1965,0.731,0.204,11,-18.934,1,0.0727,0.51,2.02E-05,0.0894,0.699,121.817
Jewel Akens,The Birds And The Bees,1965,0.784,0.532,11,-8.763,1,0.0288,0.247,0.000323,0.309,0.962,107.155
"Peter, Paul & Mary",For Lovin' Me,1965,0.552,0.254,6,-14.527,1,0.0303,0.859,6.41E-06,0.0976,0.721,99.409
Bert Kaempfert And His Orchestra,Red Roses For A Blue Lady,1965,0.603,0.334,7,-11.458,1,0.0311,0.914,0.449,0.154,0.287,117.697
Sam Cooke,A Change Is Gonna Come,1965,0.212,0.383,10,-10.071,1,0.0347,0.723,0,0.299,0.452,173.79
The Newbeats,Break Away (From That Boy),1965,0.6,0.362,10,-14.238,1,0.0331,0.764,0.00201,0.108,0.62,122.754
Ronnie Dove,Hello Pretty Girl,1965,0.604,0.547,7,-9.305,1,0.0318,0.734,0,0.0952,0.961,125.148
The Searchers,What Have They Done To The Rain,1965,0.294,0.493,4,-6.695,1,0.0294,0.534,0,0.297,0.403,134.891
Bobby Goldsboro,Little Things,1965,0.876,0.527,2,-13.875,1,0.0361,0.223,0.00733,0.121,0.915,129.145
Connie Francis,Whose Heart Are You Breaking Tonight,1965,0.483,0.431,6,-7.671,1,0.0281,0.728,0,0.361,0.413,92.944
Gerry And The Pacemakers,Ferry Cross The Mersey,1965,0.396,0.286,6,-11.494,0,0.0283,0.548,8.51E-06,0.122,0.605,105.289
Little Anthony And The Imperials,Hurt So Bad,1965,0.509,0.526,4,-9.926,0,0.0852,0.665,0,0.675,0.383,109.968
Wayne Newton,Comin' On Too Strong,1965,0.622,0.505,0,-10.685,1,0.0347,0.422,0.000245,0.0862,0.836,133.17
Richard Burton,Married Man,1965,0.252,0.193,6,-19.187,1,0.0428,0.908,0.778,0.104,0.209,134.696
Lorne Greene,The Man,1965,0.653,0.545,5,-9.189,0,0.115,0.689,3.91E-06,0.629,0.761,124.107
The Ventures,Diamond Head,1965,0.567,0.612,9,-12.063,0,0.0332,0.102,0.918,0.205,0.963,149.378
Four Tops,Ask The Lonely,1965,0.483,0.556,1,-4.849,1,0.0267,0.329,0,0.0698,0.328,106.15
Johnny Rivers,Midnight Special,1965,0.621,0.33,9,-19.215,1,0.0413,0.212,0.00169,0.955,0.972,155.358
The Dave Clark Five,Come Home,1965,0.417,0.361,7,-9.994,1,0.0626,0.376,0,0.114,0.47,201.364
Billy Strange,Goldfinger,1965,0.339,0.506,5,-12.769,1,0.0348,0.491,0.893,0.0766,0.355,133.459
The Velvelettes,He Was Really Sayin' Somethin',1965,0.661,0.761,0,-5.719,1,0.0272,0.14,0,0.236,0.858,134.153
Ed Ames,Try To Remember,1965,0.247,0.358,5,-9.724,1,0.0299,0.893,8.48E-06,0.0947,0.168,83.361
The Righteous Brothers,Bring Your Love To Me,1965,0.56,0.577,7,-10,1,0.046,0.502,0,0.212,0.738,119.321
Jackie Ross,Jerk And Twine,1965,0.674,0.724,10,-6.837,1,0.0605,0.463,0,0.159,0.919,107.458
Mitty Collier,"No Faith, No Love",1965,0.51,0.389,1,-5.708,1,0.0283,0.578,0,0.155,0.381,113.047
Jimmy Cross,I Want My Baby Back,1965,0.544,0.74,0,-9.63,0,0.459,0.844,0,0.234,0.255,112
Bobby Vee,Cross My Heart,1965,0.597,0.466,0,-9.783,1,0.0419,0.683,0,0.234,0.734,141.563
The Beatles,Eight Days A Week,1965,0.652,0.583,9,-7.811,1,0.038,0.412,0,0.119,0.744,138.134
The Supremes,Stop! In The Name Of Love,1965,0.612,0.444,0,-12.752,1,0.0293,0.531,0,0.126,0.503,114.961
Roy Orbison,Goodnight,1965,0.628,0.577,0,-7.361,1,0.0305,0.631,0.00117,0.13,0.693,113.15
Jr. Walker & The All Stars,Shotgun,1965,0.751,0.683,1,-5.771,1,0.0338,0.155,7.85E-06,0.0611,0.631,120.983
Georgie Fame And The Blue Flames,"Yeh, Yeh",1965,0.633,0.535,3,-9.383,1,0.0742,0.285,0,0.0976,0.638,89.103
The Impressions,People Get Ready,1965,0.414,0.249,1,-12.674,1,0.0369,0.894,8.37E-06,0.188,0.341,142.442
Chad & Jeremy,If I Loved You,1965,0.496,0.421,0,-13.538,1,0.0272,0.762,0.000303,0.176,0.427,112.303
Martha & The Vandellas,Nowhere To Run,1965,0.604,0.827,2,-9.383,0,0.0472,0.108,0.00392,0.151,0.857,129.343
The Beatles,I Don't Want To Spoil The Party,1965,0.533,0.668,7,-7.237,1,0.033,0.451,0,0.149,0.889,95.438
Del Shannon,Stranger In Town,1965,0.392,0.636,4,-7.916,0,0.0339,0.0071,0.167,0.136,0.607,78.41
Gene Pitney,I Must Be Seeing Things,1965,0.558,0.602,0,-7.686,1,0.0403,0.706,1.83E-06,0.133,0.44,109.051
Tony Bennett,If I Ruled The World,1965,0.274,0.329,5,-10.076,1,0.0327,0.69,0.000176,0.549,0.128,138.715
The Beach Boys,Do You Wanna Dance?,1965,0.438,0.81,10,-8.443,1,0.0457,0.455,2.23E-06,0.331,0.761,147.219
Jack Jones,The Race Is On,1965,0.415,0.719,6,-9.856,1,0.0395,0.357,0,0.0988,0.938,183.027
Joe Tex,You Better Get It,1965,0.505,0.295,10,-12.414,1,0.0549,0.656,0,0.128,0.401,104.129
Johnny Tillotson,Angel,1965,0.344,0.431,4,-9.631,1,0.0314,0.793,0,0.19,0.688,105.97
Manfred Mann,Come Tomorrow,1965,0.504,0.4,3,-10.911,1,0.0324,0.584,0,0.327,0.652,116.571
Otis Redding,Mr. Pitiful,1965,0.806,0.489,0,-12.898,1,0.104,0.0544,2.88E-05,0.0696,0.899,123.753
The Moody Blues,Go Now!,1965,0.343,0.522,5,-10.082,0,0.0348,0.385,0,0.132,0.693,119.911
Brenda Holloway,When I'm Gone,1965,0.39,0.717,5,-5.723,0,0.0625,0.5,0,0.118,0.63,137.076
The Beatles,4 - By The Beatles,1965,0.527,0.522,0,-10.614,1,0.0259,0.717,0.000595,0.142,0.73,85.155
Marianne Faithfull,Come And Stay With Me,1965,0.555,0.514,5,-9.301,1,0.0262,0.12,7.97E-06,0.124,0.678,77.952
Dionne Warwick,Who Can I Turn To,1965,0.278,0.0643,10,-19.142,1,0.034,0.958,0.0015,0.068,0.0551,130.267
Bobby Vinton,Long Lonely Nights,1965,0.295,0.365,0,-8.91,1,0.0296,0.836,0,0.0699,0.268,77.951
The Hullaballoos,Did You Ever,1965,0.703,0.685,1,-5.86,1,0.0462,0.252,0,0.165,0.962,81.02
The Beach Boys,Please Let Me Wonder,1965,0.54,0.49,10,-8.141,1,0.0305,0.777,0.208,0.104,0.488,116.968
Steve Alaimo,Real Live Girl,1965,0.38,0.544,8,-3.201,1,0.0281,0.318,0,0.0654,0.491,106.187
Ruby And The Romantics,Does He Really Care For Me,1965,0.363,0.746,5,-6.516,1,0.0334,0.355,0,0.233,0.728,102.16
Jerry Vale,For Mama,1965,0.306,0.453,4,-9.934,0,0.038,0.585,0,0.363,0.456,83.993
Sandie Shaw,Girl Don't Come,1965,0.429,0.312,7,-9.376,1,0.0314,0.698,0,0.121,0.649,77.051
Solomon Burke,Got To Get You Off My Mind,1965,0.746,0.55,2,-7.554,1,0.062,0.621,1.27E-06,0.0136,0.736,102.669
Gene Chandler,You Can't Hurt Me No More,1965,0.42,0.549,6,-10.006,1,0.0428,0.826,0,0.0825,0.44,83.604
Major Lance,Come See,1965,0.804,0.608,6,-9.05,1,0.0361,0.686,0,0.0353,0.894,119.611
Peggy Lee,Pass Me By,1965,0.832,0.489,8,-10.863,1,0.138,0.575,0.000192,0.0931,0.882,120.089
Mongo Santamaria,El Pussy Cat,1965,0.77,0.742,0,-8.47,0,0.0411,0.634,0.764,0.105,0.931,144.15
The Three Degrees,Gee Baby (I'm Sorry),1965,0.412,0.358,11,-10.461,1,0.0269,0.872,0,0.125,0.533,106.036
Wayne Fontana & The Mindbenders,Game Of Love,1965,0.575,0.825,9,-4.251,1,0.0311,0.0865,0,0.193,0.963,109.168
The Kinks,Tired Of Waiting For You,1965,0.674,0.731,0,-8.116,1,0.0332,0.526,0,0.272,0.834,122.097
Petula Clark,I Know A Place,1965,0.45,0.805,11,-8.229,1,0.0684,0.792,2.98E-06,0.417,0.494,138.006
Shirley Ellis,The Clapping Song (Clap Pat Clap Slap),1965,0.699,0.774,5,-5.401,1,0.139,0.0863,0.0164,0.204,0.615,167.499
Ronnie Dove,One Kiss For Old Times' Sake,1965,0.289,0.446,4,-8.118,1,0.0343,0.742,1.05E-06,0.0955,0.469,116.378
The Rolling Stones,The Last Time,1965,0.327,0.92,9,-5.223,1,0.0611,0.144,0.84,0.774,0.439,167.972
Jan & Dean,(Here They Come) From All Over The World,1965,0.461,0.68,0,-10.699,1,0.0446,0.621,7.74E-06,0.906,0.957,149.771
Glenn Yarbrough,Baby The Rain Must Fall,1965,0.56,0.529,4,-10.105,1,0.0303,0.873,0,0.361,0.498,109.787
Johnny Bond,10 Little Bottles,1965,0.451,0.467,7,-8.304,1,0.212,0.898,0,0.971,0.582,91.331
The Seekers,I'll Never Find Another You,1965,0.547,0.786,10,-8.188,1,0.195,0.552,0,0.485,0.577,126.977
The Miracles,Ooo Baby Baby,1965,0.185,0.344,7,-9.378,1,0.0295,0.81,0,0.166,0.424,178.635
Allan Sherman,Crazy Downtown,1965,0.606,0.637,9,-8.741,1,0.24,0.743,0,0.659,0.815,137.187
Sir Douglas Quintet,She's About A Mover,1965,0.617,0.571,4,-8.79,1,0.0347,0.53,0.000718,0.101,0.7,84.287
Tony Clarke,The Entertainer,1965,0.738,0.64,7,-6.542,1,0.04,0.41,0,0.315,0.757,104.82
The Newbeats,(The Bees Are For The Birds) The Birds Are For The Bees,1965,0.483,0.478,6,-13.621,1,0.0789,0.749,0,0.258,0.913,170.401
Herb Alpert's Tijuana Brass,Whipped Cream,1965,0.761,0.498,8,-10.415,1,0.0484,0.243,0.92,0.0747,0.964,147.836
Andy Williams,......And Roses And Roses,1965,0.154,0.185,5,-14.063,1,0.0315,0.911,0.000267,0.112,0.15,83.969
Lesley Gore,All Of My Life,1965,0.546,0.483,6,-13.112,1,0.0387,0.868,0.0421,0.538,0.803,116.625
Billy Stewart,I Do Love You,1965,0.377,0.499,7,-7.646,1,0.0314,0.848,0.000296,0.268,0.446,176.074
Bob Dylan,Subterranean Homesick Blues,1965,0.576,0.727,4,-9.973,0,0.05,0.702,0,0.324,0.751,173.854
The Searchers,Goodbye My Lover Goodbye,1965,0.672,0.535,4,-11.032,1,0.0262,0.0135,0.000121,0.0598,0.548,111.81
The Dixie Cups,Iko Iko,1965,0.918,0.489,9,-13.85,0,0.193,0.413,0.000655,0.0795,0.962,100.406
Sam The Sham and the Pharaohs,Wooly Bully,1965,0.582,0.575,7,-11.89,1,0.0529,0.713,3.66E-06,0.151,0.558,140.601
